,sentence,head,annotation_type,intensity,polarity,Owen,Amittai,Tyler
433,It is time to speak the language of truth.,It is time to speak the language of truth,arguing,medium-high,positive,,,
434,The local press was harassed.,The local press was harassed,sentiment,low-medium,negative,,,
435,Should one be surprised?,Should one be surprised,other_attitude,low-medium,,,,
436,"The opposition MDC (Movement for Democratic Change) was the victim of ""state terrorism"" that its candidate Morgan Tsvangirai rightly condemned after being beaten in an election loaded against him from start to finish, from drawing up the electoral lists to counting the votes.",an election loaded against him from start to finish,sentiment,medium-high,negative,,,
437,"The opposition MDC (Movement for Democratic Change) was the victim of ""state terrorism"" that its candidate Morgan Tsvangirai rightly condemned after being beaten in an election loaded against him from start to finish, from drawing up the electoral lists to counting the votes.",state terrorism,sentiment,medium-high,negative,,,
438,"The Commonwealth team earlier this week said that ""the conditions in Zimbabwe did not adequately allow the free and fair expression of will by the electorate"".",expression of will,sentiment,medium,positive,,,
439,"The team from the organisation's Council of Ministers, on the other hand, considered the vote a ""true reflection"" of the people's will.",will,sentiment,medium,positive,,,X
440,"Their decision would be based on the Commonwealth observer team's report on the legitimacy of the election as well as those prepared by the Southern African Development Community, the Organisation of African Unity and the SA Observer Mission.",decision,other_attitude,low,,,,
441,"In terms of the Commonwealth's mandate, action against Zimbabwe could range from collective disapproval to suspension.",mandate,sentiment,high,positive,,,
442,"""We want to come up with policies that will result in the creation of more jobs for the youths and those leaving school and colleges.",policies,other_attitude,low,,,,
443,Analysts said another reason for Mugabe to win the poll is his wise campaign strategy.,campaign strategy,other_attitude,low,,,,
444,"Despite the economic hardships and food shortages currently experienced by Zimbabweans, analysts said there are other major achievements Mugabe's government is credited for.",the economic hardships and food shortages,sentiment,low,negative,,,
445,"Within the 14-nation Southern African Development Community (SADC), a team from the SADC Council of Ministers considered that the vote in Zimbabwe was a ""true reflection"" of the people's will.",will,sentiment,low-medium,positive,,,
446,"The Nigerian government, a key player in Africa's reaction to events in Zimbabwe, will announce on Thursday its verdict on the elections, Information Minister Jerry Gana said.",reaction,other_attitude,low,,,,
447,"The Nigerian government, a key player in Africa's reaction to events in Zimbabwe, will announce on Thursday its verdict on the elections, Information Minister Jerry Gana said.",verdict,other_attitude,low,,,,
448,"We will leave Zimbabwe with a sense of accomplishment after observing the election,"" he told reporters after meeting Cde Mugabe.",with a sense of accomplishment,sentiment,medium-high,positive,,,
449,"We saw the same thing but with different views which is normal.""",views,other_attitude,low,,,,
450,We didn't come to vote and the results of the election were the true will of the Zimbabwean people.,will of,other_attitude,medium,,,,
451,"Diplomatic sources yesterday said the Southern African Development Community (Sadc) Parliamentary Forum observer mission and the Zimbabwe Election Support Network (ZESN) were funded by the EU, which was kicked out of Zimbabwe and denied the opportunity to observe the election.",kicked out of Zimbabwe and denied the opportunity to observe the election,sentiment,low-medium,negative,,,
452,"He said the violence, hunger and economic turmoil are strengthening his country's appetite for a public campaign for change.",strengthening his country's appetite for a public campaign for change,sentiment,medium-high,positive,,,X
453,"""It is a case of take what you can while you can. """,It is a case of take what you can while you can,sentiment,low-medium,negative,,,
454,"""The international community can support us so far, but it can never remove the shackles of repression,"" he said.",shackles of repression,sentiment,high,negative,,,
455,"""According to reports we have received, they are taken to the police to denounce the MDC, then to the war veterans, where they go through a public confession,"" Mrs. Eppel said.",confession,other_attitude,low,,,,
456,"""If the prosecution's key witness is reluctant to testify, how will they proceed?","If the prosecution's key witness is reluctant to testify, how will they proceed",other_attitude,low,,,,
457,"""This is just the pursuance of a vendetta.",pursuance of a vendetta,sentiment,medium-high,negative,,,
458,"""I feel very strongly for these people,"" Mr. Tsvangirai said.",feel very strongly for these people,sentiment,medium-high,negative,,,
459,"Because of restrictions on foreign reporters in Zimbabwe, it was impossible to obtain direct government comment on Mr. Tsvangirai's allegations.",allegations,other_attitude,low,,,,
460,"He said his country has repeatedly, through proper diplomatic 
channels, urged the Israeli side to fulfill its pledges and to 
respond favorably to endeavors aimed at reaching a settlement in 
the Middle East through negotiations.",pledges,intention,medium,positive,,,
461,"While Israel rejects the EU plan for political and economic 
reasons, the EU affirms its position of not recognizing the 
Israeli settlements in the Occupied Palestinian Territory as a 
legitimate part of Israel.",plan,intention,low,positive,,,
462,"And while the Israeli settlement 
products only amount to US $100 million of the US $8 billion 
Israel gains annually from its exports to Europe, Israeli 
officials have expressed their worry over the committee's 
deliberations.",deliberations,other_attitude,low,,,,
463,It was only natural for US National Security Adviser condoleezza Rice to make statements yesterday after what can be described as a oneupmanship of rudeness was inaugurated in Washington last week.,what can be described as a oneupmanship of rudeness was inaugurated in Washington last week,sentiment,high,negative,,,
464,The Congress' resolutions and the statements made by leaders and members of the Congress revealed the US Administration's harbored intentions.,intentions,intention,low,positive,,,
465,"The first is that the current Palestinian leadership represents the Palestinian people's will, political convictions, and national aspirations.",political convictions,arguing,medium-high,positive,,,
466,It was only natural for US National Security Adviser condoleezza Rice to make statements yesterday after what can be described as a oneupmanship of rudeness was inaugurated in Washington last week.,what can be described as a oneupmanship of rudeness was inaugurated in Washington last week,sentiment,high,negative,,,
467,"Moreover, the aim of these plans is to make the Palestinians yield to the dictates of the Israeli-US alliance, which seeks a mimic resolution to the Palestinian issue, which will perpetuate the occupation and facilitate the expansion of settlements.",dictates,sentiment,medium,positive,,,
468,"With this attitude, Sharon's government showed its true hostility for a leader and chairman elected by his people.",this attitude,arguing,low-medium,positive,,,
469,"Ben Eliezer's raving coincided with the arrival of his assassin boss Sharon to Washington to take part in exerting pressures on the US administration, and persuade it that removing Arafat could bring about the Palestinian surrender, and halt violence as he calls it.",raving,other_attitude,medium-high,,,,
470,The only interpretation for these accusations is that Arafat has formidable supernatural powers that enable him to defend the rights of his homeland and people against the unlimited capabilities of the Israeli occupying forces equipped with all the mighty US weapon technology.,accusations,arguing,high,positive,,,
471,"A total disengagement from the Palestinians, complete with walls and razor wire, might provide Israel its long-desired security and might free it of the burden of trying to control seven million desperate Palestinians, any number of whom are willing to die in order to end the occupation.",desperate,sentiment,high,negative,,,
472,"A few kilograms of explosives, a simple detonating fuse, and a desperate hatred are the most important ingredients.",desperate hatred,sentiment,high,negative,,,
473,The Prime Minister should explain once and for all what third objective he might have for his actions.,objective,intention,low,positive,,,
474,The ingredients for a decision are in large measure in place if they would only be admitted by the two sides.,decision,other_attitude,low,,,,
475,As Israeli tanks push their way into one Palestinian population center after another it has become more and more difficult to guess what political objectives might be driving Prime Minister Ariel Sharon.,objectives,intention,low,positive,,,
476,"The desperate tableau that has emerged in the last few days is becoming even more dismal, and the administration of President George W. Bush does not appear to have any sort of logical Near East policy.",The desperate tableau that has emerged in the last few days is becoming even more dismal,sentiment,high,negative,,,
477,The temporary security it may produce will be lost immediately if the troops are withdrawn.,The temporary security it may produce will be lost immediately if the troops are withdrawn,sentiment,low-medium,negative,,,
478,Israel is responsible for about three million bitter people who lack political rights.,bitter,sentiment,high,negative,,,
479,It is also reflected in the fact that the ruling Israeli coalition has no agreed-upon political plan and that the settlement plans and initiatives that are attributed to this Israeli official or that are unable to meet the minimum legitimate Palestinian demands.,demands,sentiment,medium-high,positive,,X,
480,These people saw the majority of their security sites destroyed and the residential neighborhoods and apartment buildings parallel to the combat lines with the Israeli army and settlements in the West Bank and Gaza targeted by the Apaches helicopters and large-caliber artillery and machine guns.,These people saw the majority of their security sites destroyed and the residential neighborhoods and apartment buildings parallel to the combat lines with the Israeli army and settlements in the West Bank and Gaza targeted by the Apaches helicopters and large-caliber artillery and machine guns,sentiment,low,negative,,,
481,"This would put an end to sensitivities, hatred, and injustice and spread peace in the region and the world.",hatred,sentiment,high,negative,,,
482,"The publication quoted Wu Guoguang, a professor at Hong Kong University, as saying that any concessions by Washington on the Taiwan issue could trigger a defection of its Asian allies, including Japan, to Beijing's fold.",concessions,agreement,low,positive,,,
483,"Prior to his departure for Shanghai, Bush said during his meeting with mainland Chinese President Jiang Zemin, he will reaffirm to Jiang the US support for the ""one China"" policy as well as its desire to see a peaceful solution to all disputes between the two sides of the Taiwan Strait.",disputes between,sentiment,medium,negative,,,
484,"""We believe in the sincerity of the United States in promising not to mix up its counter-terrorism drive with the Taiwan Strait issue,"" Kao said, adding that relevant US officials have on many occasions reaffirmed similar commitments to the ROC.",similar commitments,intention,medium,positive,,,
485,"Taipei was angered when then-president Bill Clinton pledged the ""three nos"" during his China visit in 1998.","pledged the ""three nos""",intention,medium,negative,,,
486,But Taiwanese officials are nonetheless concerned.,concerned,sentiment,medium,negative,X,,
487,"The top US official handling Taiwan affairs, Richard Bush -- no relation of the president -- also moved to ease Taipei's concerns during his visit to the island last month.",concerns,sentiment,medium,negative,,,
488,In a press conference on the sidelines of the current full session of parliament -- his annual opportunity to present China's foreign policy objectives to the outside world -- Tang largely steered clear of subjects over which Beijing and Washington disagree.,foreign policy objectives,intention,low-medium,positive,,,
489,"""This is a very important consensus,"" Tang said.",consensus,agreement,low-medium,positive,X,,
490,"They need not be nervous,"" he said.",be nervous,sentiment,medium,negative,,,
491,"""We hope that people will keep calm.",will keep calm,other_attitude,low,,,,
492,"Taiwan's WTO entry is not a conclusion of its goal but the beginning of its chance to play an important role in the world, Lash said, adding that the United States will continue to help Taiwan realize all its WTO expectations.",expectations,other_attitude,low,,,,
493,"Taiwan's WTO entry is not a conclusion of its goal but the beginning of its chance to play an important role in the world, Lash said, adding that the United States will continue to help Taiwan realize all its WTO expectations.",goal,intention,low,positive,,,
494,"""Our position is clear,"" he continued.",position,arguing,low,positive,,,
495,"The remarks seriously violated the commitments made by the US government in the three Sino-US Joint Communiques, said Zhang, adding that those remarks, out of ulterior motives, interfered in China's internal affairs.",out of ulterior motives,sentiment,medium,negative,,,
496,"The remarks seriously violated the commitments made by the US government in the three Sino-US Joint Communiques, said Zhang, adding that those remarks, out of ulterior motives, interfered in China's internal affairs.",commitments,intention,medium,positive,,,
497,Chen again voiced his condolences to the families of the thousands of Americans killed when hijacked planes plunged into the New York World Trade Center and Pentagon on September 11.,voiced his condolences,sentiment,medium,negative,,,
498,"""On behalf of the government and people of the Republic of China (Taiwan's official name), I would like to extend our full support to the George W. Bush administration in its any decision and act against terrorists,"" Chen said while meeting Oregon governor John Kitzhaber.",decision,other_attitude,low,,,,
499,"But there are many grieving Venezuelans who aren't 
quite at peace.",grieving,sentiment,medium-high,negative,,,
500,"Mr. Cardoso's concerns are 
quite valid, but he has downplayed some of Mr. Chavez's more 
alarming faults.",concerns,sentiment,medium,negative,,,
501,"But there are many grieving Venezuelans who aren't 
quite at peace.","aren't 
quite at peace",sentiment,medium,negative,,,
502,"But there are many grieving Venezuelans who aren't 
quite at peace.","But there are many grieving Venezuelans who aren't 
quite at peace",sentiment,medium,negative,,,
503,"- Business leader Pedro Carmona replaces Chavez as the new 
President, dissolves the National Assembly, dismisses the 
Supreme Court, revokes 49 controversial Chavez decrees and 
announces Presidential elections in one year.",decrees,other_attitude,low-medium,,,,
504,"Wednesday, April 10: Union leaders extend the strike for 24 
hours because of what they call Chavez's `aggressive' and 
`intolerant' response to their demands.",demands,sentiment,medium-high,positive,,,
505,"And his economic 
promises to the poor are in shreds, while his diplomatic 
flirtation with leftist world dictators only hints at his 
inclinations to gain more power.",promises,intention,medium,positive,,,
506,"But then international pressure and renewed domestic 
support for Chavez forced the generals to let him take office 
again.",pressure,sentiment,low-medium,positive,,,
507,"But there's 
also a feeling of uncertainty about how the country's obvious 
problems are going to be solved,"" said Ms Ledesma.","there's 
also a feeling of uncertainty",arguing,low,positive,,,
508,The country is in shellshock.,is in shellshock,sentiment,medium,negative,,,
509,Shellshocked,Shellshocked,sentiment,low-medium,negative,,,
510,"A general strike and an escalating oil industry stoppage that 
had threatened to cripple the country's economy were no more - 
and the country not only had a new president, business leader 
Pedro Carmona, but a new name.",were no more,sentiment,low-medium,positive,,,
511,Venezuela's new dawn,new dawn,sentiment,low-medium,positive,,,
512,"Chavez says that he has learnt a lesson from the events, and he 
will be more attentive to the opposition's opinion in the 
future.",opinion,other_attitude,low,,,,
513,"There were already several 
suppositions that Hugo Chavez may recover the position, but 
nobody could suppose the recovery would be so quick.","but 
nobody could suppose the recovery would be so quick",arguing,medium,negative,,,
514,"On Saturday it condemned the the ouster of the democratically 
elected president of Venezuela, saying, ""resorting to a coup and 
the use of force is not an acceptable method to bring about 
political change and the method is not in conformity with the 
norms of present human society.""","resorting to a coup and 
the use of force is not an acceptable method to bring about 
political change and the method is not in conformity with the 
norms of present human society",sentiment,high,negative,,,X
515,"The Iranian president also expressed the hope that with the 
return of President Chavez the Venezuelan government would be 
able to achieve its exalted objectives with the support of the 
people.",objectives,intention,low,positive,,,
516,"Referring to the objective of those who were behind the military 
coup in Venezuela, Chavez said they wwanted to have Venezuela 
come out from the Organization of the Petroleum Exporting 
Countries (OPEC) and therefore tried to produce more oil in 
order to undermine the organization.",objective,intention,low,positive,X,,
517,"Referring to the difficult period the venezuelan nation went 
through in the past week, President Chavez said the 
anti-democractic attempts to topple his government failed with 
the help of the Almighty God and the people.",anti-democractic attempts to topple his government,sentiment,high,negative,,,
518,"He reiterated OPEC's concern to ensure the interests of producers and consumers, and pledged for cooperation among the members of the organization to protect producers' interests and bring price stability to world oil markets.",concern,sentiment,medium,negative,,,
519,"Venezuelans' level of optimism is currently the same reported in 1998; that is, they are feeling pessimistic.",level of optimism,sentiment,low,positive,,,
520,"According to Datanalisis' November poll, 57.4 percent of those polled feel as bad or worse than in the past and 55.3 percent believe their main problems are in the economic area.",feel as bad or worse,sentiment,medium-high,negative,,,
521,The fact that two-thirds of Venezuelans consider Chavez responsible for the country's problems shows that he is losing strength in the third aspect of stability: The President's ability to keep hope is shrinking.,hope,sentiment,medium,positive,,,
522,"To the president's misfortune, 80 percent of Venezuelans believe there is a solution for the unemployment problem.","To the president's misfortune, 80 percent of Venezuelans believe there is a solution for the unemployment problem",sentiment,low,negative,,,
523,The first factor deals with the nation's general mood.,general mood,other_attitude,low,,,,
524,"Venezuelans' level of optimism is currently the same reported in 1998; that is, they are feeling pessimistic.",are feeling pessimistic,sentiment,medium,negative,,,
525,This lasted two years and people are feeling pessimistic again.,are feeling pessimistic,sentiment,medium,negative,,,
526,"According to Fermin, the chief of state still does not understand that if there is no confidence, there will be no investments.",no confidence,sentiment,medium,negative,,,
527,He took one further step and invited Powell to visit Venezuela to see what is really happening.,what is really happening,arguing,low-medium,positive,X,,
528,"The deputy said that Powell's remarks did not surprise him and added that the US official's opinion is based on reports published by the domestic and international press, which is waging a ruthless war against the Venezuelan chief of state.",opinion,other_attitude,low,,,,
529,"She stated: ""We are quite respectful of the decisions made by Washington, even if we do not agree with them.",decisions,other_attitude,low,,,,
530,"We respect the sovereignty of all countries and this is why we demand respect for ours.""",demand respect for ours,arguing,medium-high,positive,,,
531,"He added: ""There is no reason for any country to request the agreement of others to determine its conduct and adopt its decisions.""",agreement,agreement,medium,positive,,,
532,"Thus, Carreno excused the White House official, whom - he argued - was misled by the smear campaign and information sabotage that has been unleashed against Chavez in the country and abroad.",was misled,other_attitude,low,,,,
533,"He added: ""There is no reason for any country to request the agreement of others to determine its conduct and adopt its decisions.""",decisions,other_attitude,low,,,,
534,"Noheli Pocaterra, vice president of the National Assembly, stressed that it is up to Venezuela to decide its foreign policy and the United States must respect its decision.",decision,other_attitude,low,,,,
535,"Ambiguous situations constitute a breeding ground for bilateral tensions and the fact that currently, we do not even have an ambassador in Washington indicates that we are on the verge of a major breakdown in our relations with our leading trade partner.""]",on the verge of a major breakdown in our relations with our leading trade partner,sentiment,medium,negative,,,
536,"Deputy Cilia Flores, chief of bloc of the Fifth Republic Movement [MVR], used the same tone to express her opinion.",express her opinion,other_attitude,low,,,,
537,"Arzola stated: ""The government's positions are not only harming the country at the domestic level, but also at the international level because thousands of investors are watching on their television sets what is happening in Venezuela, where the rule of law is under fire.""",positions,arguing,low-medium,positive,,,
538,"Arzola added: Any recommendation by a country friendly to Venezuela, especially a country that is Venezuela's No.1 trade partner, must be heeded, as well as recommendations by the Church and the nation, which is demanding a rectification.",recommendations,other_attitude,low,,,,
539,"Garcia Ponce, who said he was speaking on behalf of the entire CPR, pointed out that it would be ""truly inconceivable"" that the interference of a state to approve or disapprove the decisions of another or other states became a trait of foreign policy.",decisions,other_attitude,low,,,,
540,"Guillermo Garcia Ponce Click here to view picture of Garcia Ponce , chief of the board of directors of the Political Command of the Revolution [CPR], described Powell's statement as ""unusual"" and added that it does not reflect the friendly relations between Caracas and Washington.",friendly relations,sentiment,medium,positive,,,
541,"The report cites Convergence Deputy Alejandro Arzola saying that Powell's position clearly reflects the concern that exists in the international community and Latin America over the Venezuelan situation: the atmosphere of conflict and the threats against freedom of expression, democracy, and legal security.",position,arguing,low-medium,positive,,,
542,[Caracas El Nacional (Internet version) in Spanish on 7 February carries a related 760-word item that says that some opposition deputies agreed that the government's tactless actions are to blame for the concerns voiced by US Foreign Secretary Colin Powell.,concerns,sentiment,low-medium,negative,X,,
543,"If to this, we add the President's constant aggressive attitude and readiness to establish ties between Venezuela and parasitic economies that give us nothing, but fulfill his political commitments, we will very likely continue to lose our edge in the US market.""",constant aggressive attitude,sentiment,high,negative,,,X
544,"Arzola added: Any recommendation by a country friendly to Venezuela, especially a country that is Venezuela's No.1 trade partner, must be heeded, as well as recommendations by the Church and the nation, which is demanding a rectification.",recommendation,other_attitude,low,,,,
545,The statement by US Secretary of State Colin Powell about the Venezuelan Government triggered yesterday reactions from members of the ruling party.,reactions,other_attitude,low,,,,
546,What is there about a coup against the constitutional order that could resemble the most important day in Venezuelan history?,What is there about a coup against the constitutional order that could resemble the most important day in Venezuelan history,other_attitude,low-medium,,,,
547,"Seeing in believing, and the longer you live the more you see.","Seeing in believing, and the longer you live the more you see",arguing,low,positive,,,
548,"Once he was taken prisoner, democracy exhausted all its generosity, just as Vargas did with Carujo.","Once he was taken prisoner, democracy exhausted all its generosity, just as Vargas did with Carujo",sentiment,medium,negative,,,
549,"Today, with this official ""celebration,"" Venezuela is in mourning.","""celebration,""",sentiment,medium,negative,,,
550,"In any event, it is more than apparent that the United States intends to play a conspicuous role and exert increasing pressure as far as the oil issue is concerned.",exert increasing pressure,sentiment,medium,positive,,,
551,"In any event, it is more than apparent that the United States intends to play a conspicuous role and exert increasing pressure as far as the oil issue is concerned.",exert increasing pressure,sentiment,low-medium,negative,,,
552,"The price of crude had taken a dramatic upsurge in the aftermath of the ever-deteriorating Middle East crisis, the unilateral cut off of Iraqi oil by Saddam Hussein and similar threats by several other oil producing countries.",the ever-deteriorating Middle East crisis,sentiment,medium-high,negative,,,
553,"The price of crude had taken a dramatic upsurge in the aftermath of the ever-deteriorating Middle East crisis, the unilateral cut off of Iraqi oil by Saddam Hussein and similar threats by several other oil producing countries.",the unilateral cut off,sentiment,high,negative,,,
554,"Evidently, during a phone conversation on Friday Chavez told his daughter that he was forced to resign and accept the army's non-negotiable conditions.",was forced to resign and accept the army's non-negotiable conditions,sentiment,medium,negative,,,
555,"Moreover, Chavez's foreign policies were contrary to American interests in Latin America, as well as in other parts of the world.",interests,sentiment,medium,positive,,,
556,"However, despite the passage of 170 years since its independence, it is one of the poorest countries in the world.","However, despite the passage of 170 years since its independence, it is one of the poorest countries in the world",sentiment,medium,negative,,,
557,"Also, the Venezuelan President's return to power once again showed that if rulers are endorsed and supported by the people, the people's determination can affect decisions and that the people's presence on the scene can prevent rules and decisions with which they totally disagree.",determination,other_attitude,low-medium,,,,
558,"""Our position is very clear, our position was that the new authorities had to receive a vote of confidence to lead the Venezuelan process back to the democratic path,"" he stated.",Our position,arguing,low,positive,,,
559,"Flores maintained that ""this is a position that is not unique to El Salvador; it is the position of all the European countries, it is the position of the United States; this is in our view totally reasonable when so little information is available.""",the position,arguing,low,positive,,,
560,"It is necessary to be loyal to El Salvador,"" Flores concluded.",It is necessary to be loyal to El Salvador,arguing,medium-high,positive,,,
561,"Flores maintained that ""this is a position that is not unique to El Salvador; it is the position of all the European countries, it is the position of the United States; this is in our view totally reasonable when so little information is available.""",the position,arguing,low,positive,,,
562,"Flores maintained that ""this is a position that is not unique to El Salvador; it is the position of all the European countries, it is the position of the United States; this is in our view totally reasonable when so little information is available.""",a position,arguing,low,positive,,,
563,"He explained that ""El Salvador took a different position"" from that of other Latin American countries because at the present time it presides over the Permanent Council of the OAS.",took a different position,arguing,low,positive,,,
564,The Iranian president also expressed the hope that with the return of President Chavez the Venezuelan government would be able to achieve its exalted objectives with the support of the people.,objectives,intention,low,positive,,,
565,"Referring to the objective of those who were behind the military coup in Venezuela, Chavez said they wwanted to have Venezuela come out from the Organization of the Petroleum Exporting Countries (OPEC) and therefore tried to produce more oil in order to undermine the organization.",objective,intention,low,positive,,,
566,"Referring to the difficult period the venezuelan nation went through in the past week, President Chavez said the anti-democractic attempts to topple his government failed with the help of the Almighty God and the people.",the anti-democractic attempts to topple his government,sentiment,high,negative,,,
567,"It is time for the former officer to rethink, to set priorities, to understand that the Cuban model no longer works even for Havana, to give up, as he has promised, revanchism and to understand that Venezuela is a Western country where there is no reason for it to be impossible to improve the fate of the Venezuelans and eradicate the eternal scourge of corruption, within a framework comparable to that of the rest of the world.",rethink,other_attitude,low,,,,
568,"Debatable decisions of his have caused a deep social polarization and brought him into confrontation with representative sectors of civil society, against which he used more demagogy than arguments.",decisions,other_attitude,low,,,,
569,"It is time for the former officer to rethink, to set priorities, to understand that the Cuban model no longer works even for Havana, to give up, as he has promised, revanchism and to understand that Venezuela is a Western country where there is no reason for it to be impossible to improve the fate of the Venezuelans and eradicate the eternal scourge of corruption, within a framework comparable to that of the rest of the world.",set priorities,intention,low,positive,,,
570,"All of this leaves in the air a feeling of military uncertainty, after a two-way trip in 24 hours which will undoubtedly leave deep wounds in armed forces which clearly have not given up their wish to exert a decisive influence in political life.",uncertainty,sentiment,low-medium,negative,,,
571,"All of this leaves in the air a feeling of military uncertainty, after a two-way trip in 24 hours which will undoubtedly leave deep wounds in armed forces which clearly have not given up their wish to exert a decisive influence in political life.",deep wounds in,sentiment,high,negative,,,
572,"The civilian opposition, which in the absence of political parties was organized around the employers' organization and the trade unions, does not come out of it well either.",does not come out of it well either,sentiment,medium,negative,,,
573,"But President Chavez too is seriously damaged by his links to the groups of armed followers who left a score of dead in Thursday's !
[1!
1 April] crushing of the demonstrations.",seriously damaged,sentiment,medium-high,negative,,,
574,"Even if it finally turns out that the two colonels were operating without the knowledge and approval of the White House, it will be a disaster for Bush.",approval,sentiment,low-medium,positive,,,
575,"The whiff of scandal and conspiracy is in the air -- and the American media, ever addicted to conspiracy theories, is not going to let it go.",The whiff of scandal and conspiracy is in the air,sentiment,medium,negative,,,
576,Coup making might have been acceptable during the Cold War.,Coup making might have been acceptable during the Cold War,sentiment,low,negative,,,
577,"Moreover, in its posturing with respect to this country, America declared that democracy had been victorious in Venezuela.",declared that democracy had been victorious in Venezuela,sentiment,medium,positive,,,
578,"This is while before Chavez, Venezuela used to be called the ""errant member"" within OPEC, a member that would follow less the concerted decisions of OPEC and observe less its own quotas.",decisions,other_attitude,low,,,,
579,"Besides these instances of American hostility towards Chavez, mention must be made of his oil policy within OPEC.",mention must be made of his oil policy within OPEC,arguing,medium-high,positive,,,
580,"Although the White House and the Pentagon have denied supporting the oppositions in Venezuela to stage this coup, the world will not be easily fooled as it can judge from the several official statements made by the US Government both before and after the coup.",judge,other_attitude,low-medium,,,,
581,"They have pointed out: When will a ""coup"" not be called a ""coup""?","When will a ""coup"" not be called a ""coup""",sentiment,low-medium,negative,,X,
582,"It has been reported that the United States had earlier held a secret meeting with a number of countries, promising to pay for their long due OPCW membership fees if they could vote according to the wish of the United States.",wish,sentiment,low-medium,positive,,,
583,"Although the White House and the Pentagon have denied supporting the oppositions in Venezuela to stage this coup, the world will not be easily fooled as it can judge from the several official statements made by the US Government both before and after the coup.",supporting the oppositions,sentiment,medium,negative,,,
584,"On the issue whether the coup farce staged in Venezuela not long ago had an ""American background,"" the world media have made many reports, comments, and conjectures.",coup farce staged,sentiment,medium,negative,,,
585,"At the time when the abortive coup had just taken place, the United States ""did not show the slightest sympathy,"" still less ""the least regret,"" for the breaking-off of Venezuela's democratic system.",sympathy,sentiment,low-medium,negative,,,
586,"On the issue whether the coup farce staged in Venezuela not long ago had an ""American background,"" the world media have made many reports, comments, and conjectures.",conjectures,other_attitude,low,,,,
587,"In simpler terms, the interests of the United States are always above everything else, not only above the sovereignty of other nations, but also above the so-called values of ""democracy"" and ""human rights"" that the US always likes to dwell on.",interests,sentiment,low-medium,positive,,,
588,"Argentine President Fernando De la Rua declared a national state 
of siege Wednesday night and ordered additional security forces 
into the streets to control violence that left at least six 
people dead and hundreds wounded or arrested.","declared a national state 
of siege",sentiment,low-medium,negative,,,
589,"BUENOS AIRES -- Foreign multinational companies trying to avoid 
billions in losses furiously lobbied Argentine lawmakers and the 
new government ahead of today's final vote on emergency 
legislation to devalue the peso and end the country's decade-old 
currency parity with the U.S. dollar.",furiously lobbied,sentiment,medium,negative,,,
590,Foreign firms furiously lobby in Argentina,furiously lobby,sentiment,high,positive,,,
591,Foreign firms furiously lobby in Argentina,furiously lobby,sentiment,medium,negative,,,
592,"Duhalde does not agree and has 
resisted the lobbying, his aides said.",lobbying,sentiment,medium,positive,,,
593,"They fear that if Argentina 
can break promises made in contracts, other nations may try to 
do the same in less dire times.",promises,intention,medium,positive,,,
594,"The most frantic lobbying Saturday came from banks, phone 
companies and petroleum firms from Spain.",most frantic lobbying,sentiment,high,positive,,,
595,"The most frantic lobbying Saturday came from banks, phone 
companies and petroleum firms from Spain.",most frantic lobbying,sentiment,medium-high,negative,,,
596,``It's a ripple effect.,It's a ripple effect,arguing,low-medium,positive,,,
597,Argentina is now broke.,Argentina is now broke,sentiment,medium,negative,,,
598,"His package of legislation seeks -- 
at the expense of foreign and domestic companies -- to ease the 
pain on an increasingly angry middle class, the largest in South 
America.",increasingly angry,sentiment,high,negative,,,
599,"The country of 36 million people is living in fear of more shop 
looting and violence that killed 27 people before De la Rua 
quit, of more riots like those that erupted on Friday and of 
more misery as a four-year-old recession grinds on.",misery,sentiment,high,negative,,,
600,"""Today we are millimeters away from a civil war,"" said Leopoldo 
Moreau, a Radical Party congressman.",we are millimeters away from a civil war,sentiment,medium-high,negative,,,
601,"De la Rua's cowed Radical Party agreed, with senior party 
official Federico Storani saying it would be ""madness"" to hold 
elections now ""because the interim government wouldn't have the 
power to apply measures to get us over this crisis.""",agreed,agreement,medium,positive,,,
602,"""Obviously I'm worried.",worried,sentiment,medium,negative,,,
603,`Shameful',Shameful,sentiment,medium-high,negative,,,
604,"""It's shameful.",It's shameful,sentiment,medium-high,negative,,,
605,"The country of 36 million people is living in fear of more shop 
looting and violence that killed 27 people before De la Rua 
quit, of more riots like those that erupted on Friday and of 
more misery as a four-year-old recession grinds on.","The country of 36 million people is living in fear of more shop 
looting and violence that killed 27 people before De la Rua 
quit, of more riots like those that erupted on Friday and of 
more misery as a four-year-old recession grinds on",sentiment,medium,negative,,,
606,"The fact that a right-wing party has conquered an absolute 
majority in Argentina proves the desperation of the people, 
although 41% of the population voted with spoiled or void votes.",desperation,sentiment,medium-high,negative,,,
607,"The fact that a right-wing party has conquered an absolute 
majority in Argentina proves the desperation of the people, 
although 41% of the population voted with spoiled or void votes.","The fact that a right-wing party has conquered an absolute 
majority in Argentina proves the desperation of the people, 
although 41% of the population voted with spoiled or void votes",sentiment,medium,negative,,,
608,"The more the poles part, the further the 
political and social distance between the parts.","The more the poles part, the further the 
political and social distance between the parts",sentiment,low-medium,negative,,,
609,"He declined to comment further but said the country would continue to honor its commitment with the International Monetary Fund, which is coordinating some $5 billion in aid to help the country overcome its current economic crisis in return for reforms.",would continue to honor its commitment with,intention,low-medium,positive,,,
